id,model,ils,alpha_preserve,delta_edit_gain,gamma_orig_preserve,s_o_po,s_e_po,s_o_pe,s_e_pe
02bf4ca5d9124030a96f6b2d28e6bfec,baseline,-0.006768427789211273,1.0,0.017038792371749878,-0.006768427789211273,0.22406555712223053,0.2308339774608612,0.2257869839668274,0.24282579123973846
b95d0c353a2c4fd09e6405db251672e4,baseline,-0.0005221366882324219,1.0,0.0005221366882324219,-0.0005221366882324219,0.3171677887439728,0.3176899254322052,0.3171677887439728,0.3176899254322052
b968821ca5f54bef9670216e3a5bdb81,baseline,0.00037082284688949585,1.0,-0.00037082284688949585,0.00037082284688949585,0.25240465998649597,0.2520338296890259,0.25240465998649597,0.2520338296890259
166524d69dbb4fd49ec7045b73e70d6e,baseline,-6.057322025299072e-06,1.0,6.057322025299072e-06,-6.057322025299072e-06,0.3003230094909668,0.3003290593624115,0.3003230094909668,0.3003290593624115
7dbd2405e75642fdbfae5e76efebbc1b,baseline,0.006619594991207123,1.0,-0.006619594991207123,0.006619594991207123,0.2855488657951355,0.2789292633533478,0.2855488657951355,0.2789292633533478
cd56bef671d442d090a6faef59394dc9,baseline,0.028991226106882095,1.0,-0.007269039750099182,0.028991226106882095,0.24058879911899567,0.21159756183624268,0.24205392599105835,0.23478487133979797
f692052003954956b1edabec03c327a2,baseline,0.06613936275243759,1.0,-0.001287408173084259,0.06613936275243759,0.2971818745136261,0.2310425043106079,0.27937090396881104,0.278083473443985
f35dd3de67484706ab2824cc93fa1f30,baseline,0.003245741128921509,1.0,-0.0033569782972335815,0.003245741128921509,0.2576390504837036,0.2543933093547821,0.2559598386287689,0.25260284543037415
9b6f07dafac34580b5bfdb5cf736fdcc,baseline,0.00824754685163498,1.0,0.04294661432504654,0.00824754685163498,0.26680487394332886,0.2585573196411133,0.2538919150829315,0.29683855175971985
a1044b91bd604b22b8067d5bdf9405d4,baseline,0.001995787024497986,1.0,-0.001995787024497986,0.001995787024497986,0.2976083755493164,0.2956125736236572,0.2976083755493164,0.2956125736236572
ff1b9d3e0ecc4359b70ffe042432174d,baseline,-0.01119127869606018,1.0,0.058892276138067245,-0.01119127869606018,0.2347574234008789,0.2459487020969391,0.2168630063533783,0.27575528621673584
18fe447412d04c3db52aef75771ad699,baseline,-0.014138221740722656,1.0,0.04816132038831711,-0.014138221740722656,0.2457566112279892,0.25989481806755066,0.22901582717895508,0.2771771550178528
98ef9faf31cc435497509d743142b638,baseline,0.0002152472734451294,1.0,-0.0002152472734451294,0.0002152472734451294,0.2936103641986847,0.29339513182640076,0.2936103641986847,0.29339513182640076
518cc68fbf0e4aad946286150c8f88bc,baseline,0.0007407888770103455,1.0,-0.0007407888770103455,0.0007407888770103455,0.29032039642333984,0.2895796000957489,0.29032039642333984,0.2895796000957489
3a80795a25d746eaaeceb349889679e7,baseline,-0.007574785500764847,1.0,0.0684102326631546,-0.007574785500764847,0.25396403670310974,0.2615388035774231,0.21906927227973938,0.2874795198440552
2884e7f790a64d39b3a9f680d8bfb16d,baseline,0.0033495761454105377,1.0,0.03259171172976494,0.0033495761454105377,0.24604812264442444,0.242698535323143,0.2410202920436859,0.27361199259757996
0897f48eb8ee413d816fc56840949a4e,baseline,0.004863761365413666,1.0,0.026489123702049255,0.004863761365413666,0.26813527941703796,0.2632715106010437,0.24761264026165009,0.27410176396369934
f384e0740292452c9ec38c54c74a20f8,baseline,-0.00032551586627960205,1.0,0.00032551586627960205,-0.00032551586627960205,0.2215370386838913,0.2218625545501709,0.2215370386838913,0.2218625545501709
cc0a200e62154a7eadb9346485c812b7,baseline,-0.012361228466033936,1.0,0.012361228466033936,-0.012361228466033936,0.31633245944976807,0.328693687915802,0.31633245944976807,0.328693687915802
ecb170b034854322bca655d2a286ae25,baseline,0.02291090041399002,1.0,0.030697721987962723,0.02291090041399002,0.26597854495048523,0.2430676519870758,0.23964165151119232,0.27033936977386475
e4a7f553056745d6badaa977aa9df03b,baseline,0.018241815268993378,1.0,0.0024747997522354126,0.018241815268993378,0.26471662521362305,0.24647483229637146,0.2596336305141449,0.2621084451675415
91270dab9d1a47c7ba7ffaaf8c8b0beb,baseline,-0.0004093348979949951,1.0,0.0004093348979949951,-0.0004093348979949951,0.31146976351737976,0.31187909841537476,0.31146976351737976,0.31187909841537476
c321b03b66c945d781e1e2636f8f5364,baseline,0.054521672427654266,1.0,-0.009419985115528107,0.054521672427654266,0.3130941390991211,0.25857245922088623,0.2998579144477844,0.2904379367828369
